,Classes,Difficulty
1,AHS008,1.00
2,AHS010S,4.00
3,AHS017B,4.00
4,AHS021,3.00
5,AHS023,5.00
6,AHS028,6.33
7,ANTH001,2.88
8,ANTH002,4.00
9,ANTH003,4.20
10,ANTH005,3.70
11,ANTH006,5.50
12,ANTH007S,2.00
13,ANTH020,6.00
14,ANTH020S,3.00
15,ANTH100,4.00
16,ANTH104,4.00
17,ANTH115R,6.50
18,ANTH118,7.00
19,ANTH120,2.00
20,ANTH132,9.00
21,ANTH140G,2.00
22,ANTH115S,9.00
23,ANTH127S,2.00
24,ANTH153,5.00
25,ANTH155,6.00
26,ANTH165G,3.00
27,ARC072,2.00
28,ART001,3.00
29,ART002,2.50
30,ART003,1.00
31,ART005,4.00
32,ART006,1.00
33,ART010,1.00
34,AST023,4.50
35,AST046,3.00
36,BCH010,1.00
37,BCH015,2.67
38,BCH095,1.00
39,BCH096,1.00
40,BCH100,5.40
41,BCH100A,8.00
42,BCH110A,8.25
43,BCH110B,5.50
44,BCH110C,6.50
45,BIEN001,1.00
46,BIEN010,1.50
47,BIEN105,9.00
48,BIEN125,3.00
49,BIEN135,2.00
50,BIEN138,9.00
51,BIEN140A,1.00
52,BIOL002,3.00
53,BIOL003,5.50
54,BIOL005A,6.44
55,BIOL05LA,5.33
56,BIOL005B,7.80
57,BIOL05LB,4.33
58,BIOL005C,4.93
59,BIOL020,6.40
60,BIOL030,4.00
61,BIOL040,3.00
62,BIOL102,6.80
63,BIOL104,7.00
64,BIOL105,5.00
65,BIOL107A,7.40
66,BIOL108,7.00
67,BIOL115,8.00
68,BIOL116,4.83
69,BIOL119,6.75
70,BIOL121,4.33
71,BIOL121L,5.00
72,BIOL127,4.00
73,BIOL128,10.00
74,BIOL132,6.00
75,BIOL155,10.00
76,BIOL157,5.67
77,BIOL161A,7.00
78,BIOL162,1.50
79,BIOL163,5.50
80,BIOL171A,8.00
81,BIOL174,7.00
82,BIOL176,4.00
83,BIOL178,6.00
84,BPSC011,1.50
85,BPSC104,7.00
86,BPSC132,6.00
87,BPSC143,6.00
88,BSWT001,3.00
89,BSWT002,3.00
90,BSWT003,7.50
91,BUS010,4.20
92,BUS020,6.31
93,BUS100W,5.57
94,BUS101,2.33
95,BUS102,6.33
96,BUS103,6.00
97,BUS104,5.67
98,BUS105,5.67
99,BUS106,6.20
100,BUS107,7.50
101,BUS108,5.00
102,BUS109,5.00
103,BUS110,3.00
104,BUS121,2.00
105,BUS124,8.00
106,BUS125,7.50
107,BUS126,7.00
108,BUS127,4.00
109,BUS132,8.00
110,BUS136,5.00
111,BUS143,3.50
112,BUS145,4.00
113,BUS146,3.00
114,BUS149,3.00
115,BUS154,6.00
116,BUS155,6.00
117,BUS157,6.00
118,BUS165A,9.00
119,BUS165B,5.00
120,BUS171,5.00
121,BUS173,4.00
122,BUS175,1.00
123,BUS179,2.00
124,CBNS101,6.33
125,CBNS106,6.67
126,CBNS116,8.00
127,CBNS120,9.00
128,CBNS120L,5.50
129,CBNS121,4.00
130,CBNS124,7.67
131,CBNS125,8.00
132,CBNS128,5.00
133,CBNS150,10.00
134,CEE010,1.00
135,CEE135,6.00
136,CEE158,2.00
137,CHE100,6.33
138,CHE105,4.00
139,CHE110A,4.00
140,CHE110B,8.00
141,CHE114,7.00
142,CHE116,7.00
143,CHE120,8.33
144,CHE122,8.00
145,CHE130,6.00
146,CHE135,4.00
147,CHE160A,4.00
148,CHEM001A,5.66
149,CHEM01LA,3.11
150,CHEM001B,5.75
151,CHEM01LB,3.25
152,CHEM001C,6.07
153,CHEM01LC,7.17
154,CHEM005,6.00
155,CHEM008A,7.04
156,CHEM08LA,5.86
157,CHEM008B,8.00
158,CHEM08LB,5.25
159,CHEM008C,7.00
160,CHEM08LC,6.50
161,CHEM109,9.00
162,CHEM110A,5.40
163,CHEM110B,5.00
164,CHEM111,6.50
165,CHEM125W,6.00
166,CHEM150A,7.00
167,CHN020A,4.00
168,CHN020B,3.00
169,CHN046,3.00
170,CHN101A,4.00
171,CHN132,6.00
172,CLA010A,4.00
173,CLA010B,4.40
174,CLA010C,4.00
175,CLA012C,5.00
176,CLA040,3.33
177,CLA112,5.00
178,CPLT002,8.00
179,CPLT017A,7.00
180,CPLT017C,6.00
181,CPLT023,4.50
182,CPLT025,3.00
183,CPLT062,3.00
184,CPLT070,8.50
185,CPLT110,2.00
186,CRWT046S,3.50
187,CRWT047S,3.50
188,CRWT056,2.46
189,CRWT057C,5.00
190,CRWT066,2.00
191,CS005,4.00
192,CS006,3.60
193,CS008,2.53
194,CS009C,6.00
195,CS010A,3.21
196,CS010V,5.00
197,CS011,4.67
198,CS010B,6.67
199,CS013,5.00
200,CS010C,7.84
201,CS061,6.70
202,CS100,7.15
203,CS105,6.00
204,CS110,7.00
205,CS111,7.78
206,CS120A,4.50
207,CS120B,7.04
208,CS122A,4.00
209,CS130,8.11
210,CS135,6.67
211,CS141,8.56
212,CS144,6.00
213,CS150,6.46
214,CS152,7.23
215,CS153,6.56
216,CS160,4.50
217,CS161,4.42
218,CS161L,3.00
219,CS164,8.00
220,CS165,9.60
221,CS166,8.60
222,CS167,6.00
223,CS168,5.00
224,CS169,10.00
225,CS170,4.40
226,CS171,9.73
227,CS172,5.67
228,CS175,3.50
229,CS179E,10.00
230,CS179F,2.00
231,CS179G,4.00
232,CS179N,2.00
233,CS180,6.00
234,CS181,9.00
235,CS182,6.00
236,CS183,4.00
237,CS201,6.00
238,CS203,7.00
239,CS205,5.00
240,CS206,10.00
241,CS218,9.00
242,CS226,4.00
243,CS229,9.00
244,CS236,7.00
245,CS240,3.00
246,CS242,3.00
247,DNCE005,2.83
248,DNCE007,6.00
249,DNCE007W,4.50
250,DNCE065A,3.00
251,ECON002,3.92
252,ECON003,4.00
253,ECON003H,1.00
254,ECON006,4.67
255,ECON101,5.00
256,ECON102,3.00
257,ECON103,6.57
258,ECON104A,6.00
259,ECON104B,6.00
260,ECON105A,5.00
261,ECON107,6.00
262,ECON129,5.00
263,ECON135,6.00
264,ECON143,3.00
265,ECON162,6.67
266,ECON171,6.00
267,ECON178,4.00
268,EDUC005,2.75
269,EDUC010,1.67
270,EDUC023,5.00
271,EDUC040,4.00
272,EDUC049,2.00
273,EDUC050,5.00
274,EDUC051,1.00
275,EDUC061,3.25
276,EDUC104,5.00
277,EDUC105,3.00
278,EDUC150,2.00
279,EDUC152,3.00
280,EDUC154,3.00
281,EE001A,7.73
282,EE001B,6.60
283,EE003,10.00
284,EE010,2.00
285,EE020,5.77
286,EE100A,5.50
287,EE100B,6.00
288,EE105,7.67
289,EE110A,4.00
290,EE110B,7.00
291,EE114,5.00
292,EE115,8.00
293,EE116,8.00
294,EE120A,4.50
295,EE120B,7.04
296,EE123,8.00
297,EE128,3.00
298,EE132,5.00
299,EE138,5.00
300,EE139,6.00
301,EE141,7.00
302,EE144,8.00
303,EE252,2.00
304,ENGL001A,4.67
305,ENGL001B,5.00
306,ENGL001C,5.29
307,ENGL004,6.22
308,ENGL01PL,4.00
309,ENGL012A,3.00
310,ENGL012B,2.00
311,ENGL012I,2.00
312,ENGL012R,3.00
313,ENGL017,2.00
314,ENGL020A,5.00
315,ENGL020C,3.00
316,ENGL102W,8.00
317,ENGL128X,4.00
318,ENGR001,1.17
319,ENGR101,2.50
320,ENGR108,2.80
321,ENGR109,4.80
322,ENGR118,4.00
323,ENGR171,1.00
324,ENGR180W,3.54
325,ENSC001,2.00
326,ENSC002,6.00
327,ENSC006,5.80
328,ENSC100,4.50
329,ENSC105,5.00
330,ENSC120,6.00
331,ENTM020,1.00
332,ENTM060W,3.50
333,ENTM100,5.00
334,ENTM126,4.00
335,ENTM162,1.50
336,ETST001,2.63
337,ETST002,5.08
338,ETST003,7.00
339,ETST005,3.50
340,ETST007,2.00
341,ETST011,4.00
342,ETST012,2.00
343,ETST012H,3.00
344,ETST014,5.00
345,ETST098,4.00
346,ENTM010,7.75
347,ENTM020,4.00
348,ETST102,1.00
349,ETST106,3.00
350,ETST131,3.00
351,ETST136,3.00
352,ETST189,3.00
353,ENVE171,6.00
354,FREN002,2.50
355,FREN003,6.00
356,FREN004,2.00
357,FREN15A,6.00
358,GEO001,4.60
359,GEO002,4.00
360,GEO003,4.00
361,GEO004,3.38
362,GEO005,2.33
363,GEO008,6.83
364,GEO009,3.88
365,GEO011,5.67
366,GEO012,7.00
367,GEO013,6.00
368,GER045,3.00
369,GRK001,7.00
370,GSST001,5.00
371,GSST01S,3.17
372,GSST013S,6.00
373,GSST016,3.00
374,GSST021,2.50
375,GSST145,1.00
376,GSST185,5.00
377,HASS001,1.00
378,HISA117A,3.00
379,HISA117B,10.00
380,HISA119,3.50
381,HISA162,4.00
382,HISA165,5.00
383,HISE146,1.00
384,HISE176,9.00
385,HIST010,4.33
386,HIST010H,6.00
387,HIST015,5.50
388,HIST017A,4.00
389,HIST017B,4.50
390,HIST020,4.57
391,HIST020V,3.00
392,HIST020W,6.25
393,HIST036,4.00
394,HIST039,3.00
395,HIST044,5.00
396,HIST089,5.00
397,HIST099W,3.00
398,HIST104,2.00
399,HIST107,5.00
400,HIST108,2.80
401,HIST109,4.80
402,HNPG001B,2.00
403,HNPG002W,5.50
404,HNPG016,3.00
405,ITAL004,7.00
406,ITAL158,2.00
407,JPN001,4.00
408,JPN023,4.50
409,JPN152K,1.00
410,KOR001,2.00
411,KOR020B,6.00
412,LBST001,2.00
413,LING020,6.25
414,LING021,3.00
415,LING162,8.00
416,LNST001,2.00
417,MATH004,6.07
418,MATH005,6.93
419,MATH006A,5.11
420,MATH006B,6.00
421,MATH007A,4.00
422,MATH007B,5.43
423,MATH009A,5.38
424,MATH009B,5.10
425,MATH009C,6.00
426,MATH010A,4.63
427,MATH010B,7.00
428,MATH011,4.67
429,MATH022,6.36
430,MATH031,4.27
431,MATH046,4.11
432,MATH111,7.78
433,MATH120,5.00
434,MATH121,4.33
435,MATH126,6.33
436,MATH131,7.75
437,MATH132,9.20
438,MATH133,5.00
439,MATH135A,5.63
440,MATH135B,5.00
441,MATH136,5.00
442,MATH144,7.00
443,MATH145A,9.00
444,MATH145B,8.00
445,MATH146A,3.33
446,MATH146B,3.50
447,MATH146C,8.00
448,MATH147,10.00
449,MATH148,7.00
450,MATH149A,5.00
451,MATH151A,8.00
452,MATH153,3.00
453,MATH165A,7.50
454,MATH165B,8.00
455,MATH168,2.00
456,MATH171,7.00
457,MCBL121,6.25
458,MCBL121L,4.00
459,MCBL123,8.00
460,MCBL125,5.00
461,MCBL126,3.50
462,MCBL133,7.00
463,MCBL139,4.00
464,MCS001,5.50
465,MCS005,2.33
466,MCS006,1.00
467,MCS010,4.00
468,MCS015,2.00
469,MCS020,1.33
470,MCS047,3.00
471,MCS154,4.00
472,ME002,9.30
473,ME009,6.00
474,ME010,6.75
475,ME018A,7.00
476,ME018B,8.83
477,ME103,7.00
478,ME100A,5.25
479,ME110,7.33
480,ME113,6.33
481,ME114,4.33
482,ME118,8.75
483,ME120,8.60
484,ME144,8.00
485,ME156,9.00
486,ME170A,2.50
487,MGT201,7.00
488,MGT231,9.00
489,MGT252,10.00
490,MSE160,7.00
491,MUS001,1.50
492,MUS002,2.00
493,MUS005,6.00
494,MUS006,5.50
495,MUS008,5.25
496,MUS010,1.00
497,MUS014,2.00
498,MUS017,4.50
499,MUS018,2.00
500,MUS020,1.00
501,MUS021,1.00
502,MUS030A,3.00
503,MUS080E,7.00
504,MUS080R,1.00
505,MUS165,2.00
506,NASC092,1.00
507,NASC093,2.00
508,NASC198,2.00
509,PBPL001,3.30
510,PBPL002,4.00
511,PBPL004,2.67
512,PBPL101,6.00
513,PBPL102,4.00
514,PBPL103,3.00
515,PBPL185,3.00
516,PBPL191,2.00
517,PBPL198I,1.00
518,PHIL001,3.58
519,PHIL002,5.00
520,PHIL003,6.00
521,PHIL003W,6.00
522,PHIL004,4.75
523,PHIL005,6.00
524,PHIL007,5.00
525,PHIL008,4.91
526,PHIL009,3.60
527,PHIL010,2.00
528,PHIL030E,8.50
529,PHIL030I,6.25
530,PHIL101,8.00
531,PHIL113,4.00
532,PHIL124,5.25
533,PHYS002A,7.63
534,PHYS02LA,6.67
535,PHYS002B,6.70
536,PHYS02LB,4.00
537,PHYS002C,5.40
538,PHYS02LC,5.00
539,PHYS006,2.80
540,PHYS007,7.00
541,PHYS008,6.00
542,PHYS018,4.67
543,PHYS020,4.00
544,PHYS037,4.57
545,PHYS040A,6.15
546,PHYS040B,6.35
547,PHYS040C,7.33
548,PHYS041A,5.00
549,PHYS041B,9.00
550,PHYS041C,8.00
551,PHYS111,9.00
552,PHYS130A,7.20
553,PHYS130B,6.00
554,PHYS132,7.00
555,PHYS135A,8.33
556,PHYS135B,7.50
557,PHYS156A,7.00
558,PHYS156B,8.00
559,PHYS165,4.00
560,PHYS177,1.00
561,PLPA010,5.50
562,PLPA120,6.00
563,POSC005W,5.29
564,POSC007,5.00
565,POSC007W,6.00
566,POSC010,3.43
567,POSC015,3.67
568,POSC017,4.71
569,POSC020,5.71
570,POSC106S,1.00
571,POSC113,2.00
572,POSC114S,7.00
573,POSC124S,8.00
574,POSC125,8.00
575,POSC126,4.00
576,POSC126S,8.00
577,POSC128,3.00
578,POSC129,5.00
579,POSC134S,7.00
580,POSC137,2.00
581,POSC143S,4.50
582,POSC144S,4.00
583,POSC146,6.00
584,POSC151,4.00
585,POSC153,8.00
586,POSC154,2.00
587,POSC157S,7.00
588,POSC160S,4.00
589,POSC161,3.00
590,POSC163,5.50
591,POSC165S,7.00
592,POSC166,7.00
593,POSC167,8.00
594,POSC168,4.00
595,POSC182,5.00
596,POSC198G,3.00
597,POSC201,9.00
598,POSC254,7.00
599,PSYC001,3.30
600,PSYC002,3.27
601,PSYC011,5.40
602,PSYC012,5.63
603,PSYC013,10.00
604,PSYC037,3.00
605,PSYC049,2.33
606,PSYC110,7.17
607,PSYC115,4.00
608,PSYC128,8.00
609,PSYC132,7.00
610,PSYC133,4.00
611,PSYC139,6.00
612,PSYC140,2.50
613,PSYC142,3.00
614,PSYC150,4.67
615,PSYC152,6.50
616,PSYC153,9.00
617,PSYC160,5.00
618,PSYC168,3.00
619,PSYC175,4.00
620,PSYC178,2.00
621,PSYC179,5.00
622,PSYC182E,2.00
623,PSYC189,7.00
624,RLST001,4.00
625,RLST002,3.00
626,RLST005,5.00
627,RLST006,2.00
628,RLST007,3.00
629,RLST012,1.25
630,RLST012H,7.00
631,RLST015,4.40
632,RLST044,5.00
633,RLST113,1.00
634,SOC001,5.70
635,SOC002,4.50
636,SOC002F,2.00
637,SOC002M,1.00
638,SOC002R,5.00
639,SOC003,8.00
640,SOC004,5.75
641,SOC005,9.00
642,SOC010,7.67
643,SOC020,4.00
644,SOC030,1.00
645,SOC122,10.00
646,SOC137,4.00
647,SOC140,7.00
648,SOC167,8.00
649,SOC150,10.00
650,SOC151,6.50
651,SPN001,5.50
652,SPN002,6.60
653,SPN003,6.00
654,SPN004,5.33
655,SPN109A,6.00
656,SPN109B,4.00
657,STAT004,8.00
658,STAT040,5.50
659,STAT048,5.50
660,STAT100A,4.25
661,STAT100B,5.29
662,STAT127,4.00
663,STAT130,4.50
664,STAT146,4.50
665,STAT147,5.25
666,STAT155,6.00
667,STAT157,6.00
668,STAT160A,8.00
669,STAT160B,8.00
670,STAT160C,9.00
671,STAT170A,7.00
672,STAT170B,4.00
673,STAT171,8.00
674,STAT183,2.00
675,TFDP010,1.67
676,TFDP021,6.00
677,TFDP022,6.00
678,TFDP050S,3.00
679,TFDP052,4.00
680,TFDP066,2.00
681,VNM002,7.00
